city,east,north,south,west,lat,lng
"SPRINGDALE, AR",-94.01898309999999,36.2145404,36.1345404,-94.2589831,36.1745404,-94.13898309999999
"RACINE, WI",-87.66285230000001,42.7661309,42.6861309,-87.90285230000002,42.7261309,-87.78285230000002
"GLEN ALLEN, VA",-77.3863739,37.705978,37.625978,-77.6263739,37.665978,-77.5063739
"SPRINGFIELD, VA",-77.06720359999998,38.8292801,38.7492801,-77.3072036,38.7892801,-77.18720359999999
"FUQUAY VARINA, NC",-78.68001279999999,35.6243235,35.544323500000004,-78.9200128,35.5843235,-78.0001279999999
"ANNAPOLIS, MD",-76.3721829,39.018445299999996,38.9384453,-76.61218290000001,38.9784453,-76.4921829
"ROYAL OAK, MI",-83.0246485,42.5294801,42.4494801,-83.2646485,42.4894801,-83.1446485
"CORDOVA, TN",-89.641545,35.1998391,35.1198391,-89.881545,35.1598391,-89.761545
"LAWRENCE, KS",-95.1152501,39.0116689,38.9316689,-95.3552501,38.9716689,-95.2352501
"BRONX, NY",-73.7448268,40.8847819,40.8047819,-73.98482680000001,40.8447819,-73.8648268
"ANTIOCH, TN",-86.55159479999999,36.0997177,36.0197177,-86.7915948,36.0597177,-86.6715948
"CONWAY, SC",-78.9278143,33.8760034,33.796003400000004,-79.1678143,33.8360034,-79.0478143
"WESTLAND, MI",-83.280211,42.36420399999999,42.28420399999999,-83.520211,42.32420399999999,-83.400211
"ATHENS, AL",-86.8516741,34.8428661,34.762866100000004,-87.0916741,34.8028661,-86.9716741
"CASPER, WY",-106.1780824,42.888709000000006,42.80870900000001,-106.4180824,42.84870900000001,-106.2980824
"CANTON, MI",-83.36211599999999,42.3486444,42.2686444,-83.602116,42.3086444,-83.48211599999999
"SPRING HILL, TN",-86.8100023,35.791179,35.711179,-87.0500023,35.751179,-86.9300023
"CLINTON TOWNSHIP, MI",-82.7995514,42.626888199999996,42.5468882,-83.03955140000001,42.5868882,-82.9195514
"MARTINSBURG, WV",-77.84388689999999,39.4962099,39.4162099,-78.0838869,39.4562099,-77.96388689999999
"EAU CLAIRE, WI",-91.3784941,44.851349,44.771349,-91.6184941,44.811349,-91.4984941
"PERRIS, CA",-117.1086478,33.8225194,33.7425194,-117.34864780000001,33.7825194,-117.2286478
"EDISON, NJ",-74.2920953,40.5587154,40.4787154,-74.53209530000001,40.5187154,-74.4120953
"PALM HARBOR, FL",-82.6437127,28.1180718,28.0380718,-82.8837127,28.0780718,-82.7637127
"PORT ORCHARD, WA",-122.51624919999999,47.5803732,47.5003732,-122.7562492,47.5403732,-122.6362492
"CITRUS HEIGHTS, CA",-121.1776028,38.7230822,38.6430822,-121.41760280000001,38.6830822,-121.2976028
"ALTOONA, PA",-78.2747359,40.5586809,40.4786809,-78.5147359,40.5186809,-78.3947359
"HAGERSTOWN, MD",-77.59999319999999,39.6817629,39.601762900000004,-77.8399932,39.6417629,-77.71999319999999
"FAYETTEVILLE, GA",-84.33504429999999,33.488629599999996,33.4086296,-84.5750443,33.4486296,-84.4550443
"CASA GRANDE, AZ",-111.65339019999999,32.9510027,32.8710027,-111.8933902,32.9110027,-111.7733902
"CHERRY HILL, NJ",-74.9046312,39.966813,39.886813000000004,-75.1446312,39.926813,-75.0246312
"COCOA, FL",-80.6219984,28.4261159,28.3461159,-80.8619984,28.3861159,-80.7419984
"FEDERAL WAY, WA",-122.1926222,47.3623221,47.2823221,-122.43262220000001,47.3223221,-122.3126222
"CRANSTON, RI",-71.31727959999999,41.8198226,41.739822600000004,-71.5572796,41.7798226,-71.4372796
"TAYLOR, MI",-83.1496509,42.280872,42.200872000000004,-83.3896509,42.240872,-83.2696509
"WAXAHACHIE, TX",-96.72833109999999,32.4265312,32.3465312,-96.9683311,32.3865312,-96.8483311
"BRANDON, FL",-82.16592469999999,27.977801,27.897801,-82.4059247,27.937801,-82.2859247
"MERIDIAN, MS",-88.58365599999999,32.4043098,32.3243098,-88.823656,32.3643098,-88.703656
"GREENSBURG, PA",-79.4189289,40.3414581,40.2614581,-79.6589289,40.3014581,-79.5389289
"MIDDLETOWN, OH",-84.27827629999999,39.5550576,39.4750576,-84.5182763,39.5150576,-84.39827629999999
"KANNAPOLIS, NC",-80.5017341,35.5273613,35.447361300000004,-80.7417341,35.4873613,-80.6217341
"HAMMOND, IN",-87.3800412,41.6233688,41.5433688,-87.6200412,41.5833688,-87.5000412
"DALY CITY, CA",-122.3502079,37.727924099999996,37.6479241,-122.59020790000001,37.6879241,-122.4702079
"BRENTWOOD, CA",-121.57578629999999,37.971868,37.891868,-121.8157863,37.931868,-121.6957863
"GRANTS PASS, OR",-123.2083925,42.4790069,42.3990069,-123.44839250000001,42.4390069,-123.3283925
"PLYMOUTH, MA",-70.5472621,41.9984457,41.9184457,-70.7872621,41.9584457,-70.6672621
"ROCKLIN, CA",-121.11578279999999,38.8307339,38.7507339,-121.3557828,38.7907339,-121.2357828
"LUTZ, FL",-82.34148309999999,28.1911243,8.1111243,-82.5814831,28.1511243,-82.4614831
"VALRICO, FL",-82.1220317,27.986261499999998,27.9062615,-82.3620317,27.9462615,-82.2420317
"LEBANON, TN",-86.1711024,36.2481098,36.1681098,-86.4111024,36.2081098,-86.2911024
"MOORE, OK",-97.36670279999998,35.3795079,35.2995079,-97.6067028,35.3395079,-97.48670279999999
"NORWALK, CA",-117.961733,33.9422367,33.862236700000004,-118.201733,33.9022367,-118.081733
"SNOHOMISH, WA",-121.9781848,47.952875600000006,47.87287560000001,-122.2181848,47.91287560000001,-122.0981848
"ROWLETT, TX",-96.44388,32.9429017,32.8629017,-96.68388,32.9029017,-96.56388
"LAKE ELSINORE, CA",-117.2072615,33.7080772,33.6280772,-117.44726150000001,33.6680772,-117.3272615
"STOCKBRIDGE, GA",-84.11380929999999,33.5842781,33.5042781,-84.3538093,33.5442781,-84.23380929999999
"ENID, OK",-97.7583911,36.4355891,36.3555891,-97.9983911,36.3955891,-97.8783911
"SUN CITY, AZ",-112.1518239,33.6375393,33.5575393,-112.3918239,33.5975393,-112.2718239
"CONVERSE, TX",-98.18683979999999,29.5462414,29.4662414,-98.4268398,29.5062414,-98.30683979999999
"NAPA, CA",-122.166865,38.337538099999996,38.2575381,-122.40686500000001,38.2975381,-122.286865
"COVINGTON, LA",-89.98091079999999,30.5154702,30.4354702,-90.2209108,30.4754702,-90.1009108
"WALDORF, MD",-76.7905483,38.6665124,38.586512400000004,-77.0305483,38.6265124,-76.9105483
"DUBUQUE, IA",-90.54774789999999,42.5463629,42.4663629,-90.7877479,42.5063629,-90.6677479
"WYLIE, TX",-96.41911529999999,33.046272699999996,32.9662727,-96.6591153,33.0062727,-96.53911529999999
"MARYSVILLE, WA",-122.05708179999999,48.0917637,48.0117637,-122.2970818,48.0517637,-122.1770818
"COEUR D ALENE, ID",-116.6612225,47.7134632,47.6334632,-116.9012225,47.6734632,-116.7812225
"ELYRIA, OH",-81.98764859999999,41.4083798,41.3283798,-82.2276486,41.3683798,-82.10764859999999
"COMPTON, CA",-118.1000712,33.9358492,33.8558492,-118.34007120000001,33.8958492,-118.2200712
"YORBA LINDA, CA",-117.6932571,33.92850350000001,33.848503500000014,-117.9332571,33.88850350000001,-117.8132571
"CRESTVIEW, FL",-86.4527995,30.7941808,30.7141808,-86.6927995,30.7541808,-86.5727995
